source,target,weight,parent_user,source_is_replier,target_is_replier
CjloCNmS1hkkuN8,qmap17eri,1,trump,True,False
ClassicMansell,Justinhamm54,1,trump,True,False
ClassicMansell,Yemenimilitary,2,trump,True,False
Claudia44959719,SenSchumer,1,aoc,True,False
Claudia44959719,SenateDems,5,aoc,True,False
Claudia44959719,T_rashPandada,3,aoc,True,True
Claudia44959719,jackisaidit27,1,aoc,True,False
Claudia44959719,nickshirleyy,1,aoc,True,False
ClayAll22,DianaforQueens,1,aoc,True,False
ClaytonAllen6,DidDTrumpDie,1,trump,True,False
ClickChronicles,livingfree76,1,aoc,True,False
Cliffhangerlure,SenateDems,1,aoc,True,False
ClintonLan1565,Carolqaz123,1,trump,True,False
ClintonLan1565,MichealEdw41540,1,trump,True,False
ClintonLan1565,SabrinaBarlow15,1,trump,True,True
ClintonLan1565,TaraRose60l8,2,trump,True,False
ClintonLan1565,dlb43059,1,trump,True,True
ClintonLan1565,teunislubbers,1,trump,True,True
ClosH979,SenateDems,1,aoc,True,False
ClowardCam39692,EMastrro,2,aoc,True,True
ClowardCam39692,JohnC32116200,1,aoc,True,False
ClowardCam39692,NatLangford1,1,aoc,True,False
CoadyRodne76708,PatriciaCo93502,1,trump,True,False
Cobby1776,JamieBonkiewicz,1,trump,True,False
CobyValentine24,GearsOfWar327,1,trump,True,False
CobyValentine24,NotaRINO2025,1,trump,True,False
CockpitMonkey,F15Synch,1,trump,True,False
CocoJeanne,Magadogmommy,1,aoc,True,True
CocoloPR55,sarasinterior,1,trump,True,False
CodyParEd,DidDTrumpDie,1,trump,True,False
Coffinstuffe,SenateDems,2,aoc,True,False
Colleen25703211,SenSchumer,1,aoc,True,False
Colleen25703211,SenateDems,1,aoc,True,False
Colorado_Ex_Pat,SenateDems,1,aoc,True,False
ComixGalore,DianaforQueens,1,aoc,True,False
ComixGalore,nycDSA,1,aoc,True,False
ContemplatoX,Arr3ch0,2,trump,True,False
ContemplatoX,grok,2,trump,True,True
CookeIzzym,TRUMP_ARMY_,4,trump,True,False
CookeIzzym,earnies2,1,trump,True,True
CookeIzzym,kbltd,1,trump,True,False
CookeIzzym,wething41659,1,trump,True,False
CookiesCooper,grok,1,trump,True,True
CoolJohn173,DavidBrillaa,5,trump,True,True
CoolJohn173,MuhyettinKaya1,5,trump,True,False
CoolJohn173,susquatch777,5,trump,True,False
CooperSusa30755,robertsepehr,1,trump,True,False
Cornstock_99,DavidYeshua4,3,trump,True,False
Cornstock_99,dilligaf_bohica,3,trump,True,True
Cornstock_99,grok,2,trump,True,True
CozAlenka,BoeJiden1944,1,trump,True,False
CozAlenka,Yemenimilitary,1,trump,True,False
CrazyKens,SenateDems,1,aoc,True,False
CreatorRealTalk,SenateDems,1,aoc,True,False
Criptokourier,Crypto4theGlobe,1,trump,True,True
CrisXmusic,DianaforQueens,1,aoc,True,False
CriticalEd16945,BlueATLGeorgia,1,trump,True,False
CriticalEd16945,krassenstein,1,trump,True,False
CrrptGrantsPass,grok,10,trump,True,True
CrypWalkinJ,DianaforQueens,1,aoc,True,False
